Branch_Type,Branch_ID,Size,Arguments
# Debate File:,54959_T1of1_54959.3.json,,
# Target Argument:,54959.3,,
# Total Branches:,29,,

Pro-branch,Pb1,18,"54959.11,54959.5,54959.67,54959.47,54959.88,54959.92,54959.90,54959.59,54959.63,54959.61,54959.57,54959.100,54959.98,54959.96,54959.69,54959.55,54959.17,54959.102"
Pro-branch,Pb2,9,"54959.15,54959.108,54959.29,54959.27,54959.65,54959.23,54959.106,54959.104,54959.21"
Con-branch,Cb1,12,"54959.9,54959.71,54959.79,54959.77,54959.45,54959.43,54959.41,54959.84,54959.81,54959.25,54959.75,54959.73"
Con-branch,Cb2,16,"54959.13,54959.120,54959.7,54959.39,54959.37,54959.35,54959.33,54959.31,54959.53,54959.51,54959.116,54959.49,54959.114,54959.112,54959.110,54959.19"
Unweakened Pro-branch,UnWPb1,9,"54959.11,54959.5,54959.67,54959.88,54959.90,54959.57,54959.98,54959.96,54959.55"
Unweakened Pro-branch,UnWPb2,3,"54959.15,54959.27,54959.21"
Unweakened Con-branch,UnWCb1,5,"54959.9,54959.71,54959.77,54959.43,54959.41"
Unweakened Con-branch,UnWCb2,6,"54959.13,54959.7,54959.39,54959.37,54959.53,54959.19"
Pro-Weakening branch,PWb1,2,"54959.17,54959.102"
Pro-Weakening branch,PWb2,3,"54959.59,54959.63,54959.61"
Pro-Weakening branch,PWb3,3,"54959.23,54959.106,54959.104"
Pro-Weakening branch,PWb4,1,54959.29
Pro-Weakening branch,PWb5,1,54959.108
Pro-Weakening branch,PWb6,1,54959.69
Pro-Weakening branch,PWb7,1,54959.100
Pro-Weakening branch,PWb8,1,54959.92
Pro-Weakening branch,PWb9,1,54959.47
Pro-Weakening branch,PWb10,1,54959.65
Con-Weakening branch,CWb1,3,"54959.25,54959.75,54959.73"
Con-Weakening branch,CWb2,1,54959.45
Con-Weakening branch,CWb3,4,"54959.49,54959.114,54959.112,54959.110"
Con-Weakening branch,CWb4,2,"54959.51,54959.116"
Con-Weakening branch,CWb5,1,54959.120
Con-Weakening branch,CWb6,1,54959.81
Con-Weakening branch,CWb7,1,54959.84
Con-Weakening branch,CWb8,1,54959.79
Con-Weakening branch,CWb9,1,54959.31
Con-Weakening branch,CWb10,1,54959.33
Con-Weakening branch,CWb11,1,54959.35
