debate_id,t_id,direction,heuristic,category,branches_abv,branches,ranking_abv,ranking
36624,36624.5,weakening,weak to strong,pro-branches,"['Pb1', 'Pb2']","[['36624.25'], ['36624.811', '36624.827']]","['Pb2', 'Pb1']","[['36624.811', '36624.827'], ['36624.25']]"
36624,36624.5,weakening,strong to weak,pro-branches,"['Pb1', 'Pb2']","[['36624.25'], ['36624.811', '36624.827']]","['Pb1', 'Pb2']","[['36624.25'], ['36624.811', '36624.827']]"
36624,36624.5,weakening,small to large,pro-branches,"['Pb1', 'Pb2']","[['36624.25'], ['36624.811', '36624.827']]","['Pb1', 'Pb2']","[['36624.25'], ['36624.811', '36624.827']]"
36624,36624.5,weakening,weak to strong,con-branches,"['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,strong to weak,con-branches,"['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,small to large,con-branches,"['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['Cb1', 'Cb2', 'Cb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,weak to strong,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['36624.25'], ['36624.811']]","['UnWPb2', 'UnWPb1']","[['36624.811'], ['36624.25']]"
36624,36624.5,weakening,strong to weak,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['36624.25'], ['36624.811']]","['UnWPb1', 'UnWPb2']","[['36624.25'], ['36624.811']]"
36624,36624.5,weakening,small to large,unweakened pro-branches,"['UnWPb1', 'UnWPb2']","[['36624.25'], ['36624.811']]","['UnWPb1', 'UnWPb2']","[['36624.25'], ['36624.811']]"
36624,36624.5,weakening,weak to strong,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,strong to weak,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,small to large,unweakened con-branches,"['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]","['UnWCb1', 'UnWCb2', 'UnWCb3']","[['36624.58'], ['36624.60'], ['36624.809']]"
36624,36624.5,weakening,weak to strong,pro-weakening branches,['PWb1'],[['36624.827']],['PWb1'],[['36624.827']]
36624,36624.5,weakening,strong to weak,pro-weakening branches,['PWb1'],[['36624.827']],['PWb1'],[['36624.827']]
36624,36624.5,weakening,small to large,pro-weakening branches,['PWb1'],[['36624.827']],['PWb1'],[['36624.827']]
