method,size_category,count,mean,median,std,min,max,Q1,Q3
constructive + Small To Large,Large,580,63.24,67.56,25.51,1.1,100.0,45.99,82.57
constructive + Small To Large,Medium,505,61.64,64.91,24.94,2.63,100.0,43.4,82.19
constructive + Small To Large,Small,598,63.16,66.67,25.24,5.41,100.0,44.44,84.38
constructive + Small To Large,Very Large,510,62.16,65.5,25.26,1.07,100.0,45.84,80.57
constructive + Small To Large,Very Small,2133,76.96,83.33,24.19,10.0,100.0,60.0,100.0
constructive + Strong To Weak,Large,580,67.88,70.97,21.63,1.68,100.0,54.38,84.59
constructive + Strong To Weak,Medium,505,66.6,68.75,21.67,2.78,100.0,54.24,84.13
constructive + Strong To Weak,Small,598,68.36,71.43,21.86,6.45,100.0,54.92,85.71
constructive + Strong To Weak,Very Large,510,67.1,69.35,21.4,3.17,100.0,53.14,83.49
constructive + Strong To Weak,Very Small,2133,78.3,81.82,21.7,10.53,100.0,66.67,100.0
constructive + Weak To Strong,Large,580,71.13,74.8,22.31,1.1,100.0,57.56,89.34
constructive + Weak To Strong,Medium,505,69.67,73.77,21.83,3.33,100.0,55.07,86.3
constructive + Weak To Strong,Small,598,70.89,74.19,21.85,5.41,100.0,58.67,87.5
constructive + Weak To Strong,Very Large,510,70.74,73.56,22.49,1.07,100.0,57.6,90.78
constructive + Weak To Strong,Very Small,2133,80.88,86.36,21.16,10.53,100.0,66.67,100.0
destructive + Small To Large,Large,580,74.61,77.91,24.94,1.1,100.0,57.02,100.0
destructive + Small To Large,Medium,505,71.82,74.55,25.09,2.63,100.0,55.56,98.57
destructive + Small To Large,Small,598,73.9,78.32,25.85,5.41,100.0,57.61,100.0
destructive + Small To Large,Very Large,510,73.42,76.13,25.79,1.07,100.0,54.6,100.0
destructive + Small To Large,Very Small,2133,80.4,92.31,23.9,10.0,100.0,66.67,100.0
destructive + Strong To Weak,Large,580,79.81,84.16,20.56,1.68,100.0,69.9,98.88
destructive + Strong To Weak,Medium,505,77.34,82.61,20.5,2.78,100.0,65.96,93.65
destructive + Strong To Weak,Small,598,79.32,83.94,20.95,6.45,100.0,69.57,97.14
destructive + Strong To Weak,Very Large,510,80.11,84.57,20.16,3.34,100.0,69.03,98.86
destructive + Strong To Weak,Very Small,2133,82.3,88.89,20.99,10.53,100.0,66.67,100.0
destructive + Weak To Strong,Large,580,83.24,92.15,21.02,1.1,100.0,73.3,100.0
destructive + Weak To Strong,Medium,505,80.97,88.89,22.15,3.33,100.0,69.7,100.0
destructive + Weak To Strong,Small,598,82.65,91.1,21.82,5.41,100.0,72.27,100.0
destructive + Weak To Strong,Very Large,510,81.29,90.86,22.08,1.07,100.0,67.32,100.0
destructive + Weak To Strong,Very Small,2133,85.11,100.0,20.68,10.53,100.0,73.33,100.0
